,Quarter,Region,State,Purpose,Trips
1203,1/07/2013,Australia's Coral Coast,Western Australia,Visiting,16.7522985
1204,1/10/2013,Australia's Coral Coast,Western Australia,Visiting,40.498687
1205,1/01/2014,Australia's Coral Coast,Western Australia,Visiting,43.2997531
1206,1/04/2014,Australia's Coral Coast,Western Australia,Visiting,38.6706206
1207,1/07/2014,Australia's Coral Coast,Western Australia,Visiting,33.2898723
1208,1/10/2014,Australia's Coral Coast,Western Australia,Visiting,52.0039094
1209,1/01/2015,Australia's Coral Coast,Western Australia,Visiting,50.3161454
1210,1/04/2015,Australia's Coral Coast,Western Australia,Visiting,28.8702826
1211,1/07/2015,Australia's Coral Coast,Western Australia,Visiting,20.1899991
1212,1/10/2015,Australia's Coral Coast,Western Australia,Visiting,29.2719309
1213,1/01/2016,Australia's Coral Coast,Western Australia,Visiting,50.5933218
1214,1/04/2016,Australia's Coral Coast,Western Australia,Visiting,28.8320078
1215,1/07/2016,Australia's Coral Coast,Western Australia,Visiting,61.9223117
1216,1/10/2016,Australia's Coral Coast,Western Australia,Visiting,51.0304994
1217,1/01/1998,Australia's Golden Outback,Western Australia,Business,50.6761216
1218,1/04/1998,Australia's Golden Outback,Western Australia,Business,77.7503244
1219,1/07/1998,Australia's Golden Outback,Western Australia,Business,75.4923738
1220,1/10/1998,Australia's Golden Outback,Western Australia,Business,81.4915005
1221,1/01/1999,Australia's Golden Outback,Western Australia,Business,43.5981787
1222,1/04/1999,Australia's Golden Outback,Western Australia,Business,72.4490045
1223,1/07/1999,Australia's Golden Outback,Western Australia,Business,65.6115582
1224,1/10/1999,Australia's Golden Outback,Western Australia,Business,51.366581
1225,1/01/2000,Australia's Golden Outback,Western Australia,Business,33.7087189
1226,1/04/2000,Australia's Golden Outback,Western Australia,Business,65.1535474
1227,1/07/2000,Australia's Golden Outback,Western Australia,Business,45.7418823
1228,1/10/2000,Australia's Golden Outback,Western Australia,Business,73.8503593
1229,1/01/2001,Australia's Golden Outback,Western Australia,Business,73.5991972
1230,1/04/2001,Australia's Golden Outback,Western Australia,Business,41.9356715
1231,1/07/2001,Australia's Golden Outback,Western Australia,Business,82.0055345
1232,1/10/2001,Australia's Golden Outback,Western Australia,Business,101.373832
1233,1/01/2002,Australia's Golden Outback,Western Australia,Business,67.429777
1234,1/04/2002,Australia's Golden Outback,Western Australia,Business,97.6362796
1235,1/07/2002,Australia's Golden Outback,Western Australia,Business,72.4257929
1236,1/10/2002,Australia's Golden Outback,Western Australia,Business,76.9376097
1237,1/01/2003,Australia's Golden Outback,Western Australia,Business,45.8007016
1238,1/04/2003,Australia's Golden Outback,Western Australia,Business,72.2077302
1239,1/07/2003,Australia's Golden Outback,Western Australia,Business,69.7024892
1240,1/10/2003,Australia's Golden Outback,Western Australia,Business,77.2393211
1241,1/01/2004,Australia's Golden Outback,Western Australia,Business,68.3618598
1242,1/04/2004,Australia's Golden Outback,Western Australia,Business,42.688974
1243,1/07/2004,Australia's Golden Outback,Western Australia,Business,39.2145895
1244,1/10/2004,Australia's Golden Outback,Western Australia,Business,91.7957342
1245,1/01/2005,Australia's Golden Outback,Western Australia,Business,50.6101839
1246,1/04/2005,Australia's Golden Outback,Western Australia,Business,63.1861533
1247,1/07/2005,Australia's Golden Outback,Western Australia,Business,48.0146423
1248,1/10/2005,Australia's Golden Outback,Western Australia,Business,52.1910255
1249,1/01/2006,Australia's Golden Outback,Western Australia,Business,67.130643
1250,1/04/2006,Australia's Golden Outback,Western Australia,Business,78.190892
1251,1/07/2006,Australia's Golden Outback,Western Australia,Business,65.570677
1252,1/10/2006,Australia's Golden Outback,Western Australia,Business,71.27392
1253,1/01/2007,Australia's Golden Outback,Western Australia,Business,58.2731764
1254,1/04/2007,Australia's Golden Outback,Western Australia,Business,59.0873551
1255,1/07/2007,Australia's Golden Outback,Western Australia,Business,87.7084205
1256,1/10/2007,Australia's Golden Outback,Western Australia,Business,46.4889125
1257,1/01/2008,Australia's Golden Outback,Western Australia,Business,42.7901171
1258,1/04/2008,Australia's Golden Outback,Western Australia,Business,51.3282233
1259,1/07/2008,Australia's Golden Outback,Western Australia,Business,56.6182482
1260,1/10/2008,Australia's Golden Outback,Western Australia,Business,56.8664408
1261,1/01/2009,Australia's Golden Outback,Western Australia,Business,66.4539453
1262,1/04/2009,Australia's Golden Outback,Western Australia,Business,50.2509405
1263,1/07/2009,Australia's Golden Outback,Western Australia,Business,66.5881791
1264,1/10/2009,Australia's Golden Outback,Western Australia,Business,38.2747398
1265,1/01/2010,Australia's Golden Outback,Western Australia,Business,44.1273246
1266,1/04/2010,Australia's Golden Outback,Western Australia,Business,38.1434448
1267,1/07/2010,Australia's Golden Outback,Western Australia,Business,43.8679295
1268,1/10/2010,Australia's Golden Outback,Western Australia,Business,49.3570576
1269,1/01/2011,Australia's Golden Outback,Western Australia,Business,30.5959544
1270,1/04/2011,Australia's Golden Outback,Western Australia,Business,29.7109418
1271,1/07/2011,Australia's Golden Outback,Western Australia,Business,60.4912547
1272,1/10/2011,Australia's Golden Outback,Western Australia,Business,44.3268457
1273,1/01/2012,Australia's Golden Outback,Western Australia,Business,37.8035968
1274,1/04/2012,Australia's Golden Outback,Western Australia,Business,55.7985436
1275,1/07/2012,Australia's Golden Outback,Western Australia,Business,44.1682154
1276,1/10/2012,Australia's Golden Outback,Western Australia,Business,66.1456523
1277,1/01/2013,Australia's Golden Outback,Western Australia,Business,43.0596081
1278,1/04/2013,Australia's Golden Outback,Western Australia,Business,65.5419286
1279,1/07/2013,Australia's Golden Outback,Western Australia,Business,58.4539858
1280,1/10/2013,Australia's Golden Outback,Western Australia,Business,58.161034
1281,1/01/2014,Australia's Golden Outback,Western Australia,Business,63.2731745
1282,1/04/2014,Australia's Golden Outback,Western Australia,Business,45.7297036
1283,1/07/2014,Australia's Golden Outback,Western Australia,Business,88.3725949
1284,1/10/2014,Australia's Golden Outback,Western Australia,Business,109.6089799
1285,1/01/2015,Australia's Golden Outback,Western Australia,Business,103.7001143
1286,1/04/2015,Australia's Golden Outback,Western Australia,Business,72.1126159
1287,1/07/2015,Australia's Golden Outback,Western Australia,Business,102.344594
1288,1/10/2015,Australia's Golden Outback,Western Australia,Business,145.5148488
1289,1/01/2016,Australia's Golden Outback,Western Australia,Business,96.2156294
1290,1/04/2016,Australia's Golden Outback,Western Australia,Business,157.58614
1291,1/07/2016,Australia's Golden Outback,Western Australia,Business,114.6440066
1292,1/10/2016,Australia's Golden Outback,Western Australia,Business,148.9830744
1293,1/01/1998,Australia's Golden Outback,Western Australia,Holiday,61.8753289
1294,1/04/1998,Australia's Golden Outback,Western Australia,Holiday,39.5600864
1295,1/07/1998,Australia's Golden Outback,Western Australia,Holiday,85.4703508
1296,1/10/1998,Australia's Golden Outback,Western Australia,Holiday,73.987045
1297,1/01/1999,Australia's Golden Outback,Western Australia,Holiday,48.3437862
1298,1/04/1999,Australia's Golden Outback,Western Australia,Holiday,46.1670216
1299,1/07/1999,Australia's Golden Outback,Western Australia,Holiday,83.9336109
1300,1/10/1999,Australia's Golden Outback,Western Australia,Holiday,69.6172941
1301,1/01/2000,Australia's Golden Outback,Western Australia,Holiday,56.6078591
1302,1/04/2000,Australia's Golden Outback,Western Australia,Holiday,56.6347223
1303,1/07/2000,Australia's Golden Outback,Western Australia,Holiday,57.736691
1304,1/10/2000,Australia's Golden Outback,Western Australia,Holiday,44.4230354
1305,1/01/2001,Australia's Golden Outback,Western Australia,Holiday,65.4960877
1306,1/04/2001,Australia's Golden Outback,Western Australia,Holiday,49.9231987
1307,1/07/2001,Australia's Golden Outback,Western Australia,Holiday,68.3830877
1308,1/10/2001,Australia's Golden Outback,Western Australia,Holiday,40.2547244
1309,1/01/2002,Australia's Golden Outback,Western Australia,Holiday,43.8105185
1310,1/04/2002,Australia's Golden Outback,Western Australia,Holiday,62.8011435
1311,1/07/2002,Australia's Golden Outback,Western Australia,Holiday,68.3416488
1312,1/10/2002,Australia's Golden Outback,Western Australia,Holiday,77.9738563
1313,1/01/2003,Australia's Golden Outback,Western Australia,Holiday,54.0132171
1314,1/04/2003,Australia's Golden Outback,Western Australia,Holiday,60.7251868
1315,1/07/2003,Australia's Golden Outback,Western Australia,Holiday,77.1070282
1316,1/10/2003,Australia's Golden Outback,Western Australia,Holiday,58.3999202
1317,1/01/2004,Australia's Golden Outback,Western Australia,Holiday,82.4717954
1318,1/04/2004,Australia's Golden Outback,Western Australia,Holiday,30.8050992
1319,1/07/2004,Australia's Golden Outback,Western Australia,Holiday,105.4038657
1320,1/10/2004,Australia's Golden Outback,Western Australia,Holiday,50.8682741
1321,1/01/2005,Australia's Golden Outback,Western Australia,Holiday,58.4618907
1322,1/04/2005,Australia's Golden Outback,Western Australia,Holiday,49.7141736
1323,1/07/2005,Australia's Golden Outback,Western Australia,Holiday,58.252608
1324,1/10/2005,Australia's Golden Outback,Western Australia,Holiday,56.2470239
1325,1/01/2006,Australia's Golden Outback,Western Australia,Holiday,49.462439
1326,1/04/2006,Australia's Golden Outback,Western Australia,Holiday,51.209718
1327,1/07/2006,Australia's Golden Outback,Western Australia,Holiday,51.940869
1328,1/10/2006,Australia's Golden Outback,Western Australia,Holiday,57.333233
1329,1/01/2007,Australia's Golden Outback,Western Australia,Holiday,53.9365896
1330,1/04/2007,Australia's Golden Outback,Western Australia,Holiday,65.7071767
1331,1/07/2007,Australia's Golden Outback,Western Australia,Holiday,66.1925775
1332,1/10/2007,Australia's Golden Outback,Western Australia,Holiday,63.4294898
1333,1/01/2008,Australia's Golden Outback,Western Australia,Holiday,63.943356
1334,1/04/2008,Australia's Golden Outback,Western Australia,Holiday,50.4616626
1335,1/07/2008,Australia's Golden Outback,Western Australia,Holiday,66.6187449
1336,1/10/2008,Australia's Golden Outback,Western Australia,Holiday,60.4775538
1337,1/01/2009,Australia's Golden Outback,Western Australia,Holiday,58.1101012
1338,1/04/2009,Australia's Golden Outback,Western Australia,Holiday,41.9849472
1339,1/07/2009,Australia's Golden Outback,Western Australia,Holiday,43.8005745
1340,1/10/2009,Australia's Golden Outback,Western Australia,Holiday,50.1383403
1341,1/01/2010,Australia's Golden Outback,Western Australia,Holiday,27.6351999
1342,1/04/2010,Australia's Golden Outback,Western Australia,Holiday,39.4201485
1343,1/07/2010,Australia's Golden Outback,Western Australia,Holiday,40.3468094
1344,1/10/2010,Australia's Golden Outback,Western Australia,Holiday,28.7275168
1345,1/01/2011,Australia's Golden Outback,Western Australia,Holiday,57.3728623
1346,1/04/2011,Australia's Golden Outback,Western Australia,Holiday,30.7726792
1347,1/07/2011,Australia's Golden Outback,Western Australia,Holiday,62.7499232
1348,1/10/2011,Australia's Golden Outback,Western Australia,Holiday,41.0668833
1349,1/01/2012,Australia's Golden Outback,Western Australia,Holiday,37.2232951
1350,1/04/2012,Australia's Golden Outback,Western Australia,Holiday,53.0644889
1351,1/07/2012,Australia's Golden Outback,Western Australia,Holiday,54.3964213
1352,1/10/2012,Australia's Golden Outback,Western Australia,Holiday,62.1838058
1353,1/01/2013,Australia's Golden Outback,Western Australia,Holiday,75.2036594
1354,1/04/2013,Australia's Golden Outback,Western Australia,Holiday,69.3319576
1355,1/07/2013,Australia's Golden Outback,Western Australia,Holiday,49.1575606
1356,1/10/2013,Australia's Golden Outback,Western Australia,Holiday,40.1269255
1357,1/01/2014,Australia's Golden Outback,Western Australia,Holiday,50.4675225
1358,1/04/2014,Australia's Golden Outback,Western Australia,Holiday,43.9913663
1359,1/07/2014,Australia's Golden Outback,Western Australia,Holiday,39.4490045
1360,1/10/2014,Australia's Golden Outback,Western Australia,Holiday,60.4545551
1361,1/01/2015,Australia's Golden Outback,Western Australia,Holiday,61.1436096
1362,1/04/2015,Australia's Golden Outback,Western Australia,Holiday,39.1056088
1363,1/07/2015,Australia's Golden Outback,Western Australia,Holiday,47.7455436
1364,1/10/2015,Australia's Golden Outback,Western Australia,Holiday,31.6032654
1365,1/01/2016,Australia's Golden Outback,Western Australia,Holiday,108.6190819
1366,1/04/2016,Australia's Golden Outback,Western Australia,Holiday,84.2496055
1367,1/07/2016,Australia's Golden Outback,Western Australia,Holiday,85.2904689
1368,1/10/2016,Australia's Golden Outback,Western Australia,Holiday,61.4024262
1369,1/01/1998,Australia's Golden Outback,Western Australia,Other,4.8256884
1370,1/04/1998,Australia's Golden Outback,Western Australia,Other,1.0329002
1371,1/07/1998,Australia's Golden Outback,Western Australia,Other,14.1437262
1372,1/10/1998,Australia's Golden Outback,Western Australia,Other,2.4207597
1373,1/01/1999,Australia's Golden Outback,Western Australia,Other,2.7001963
1374,1/04/1999,Australia's Golden Outback,Western Australia,Other,1.2849196
1375,1/07/1999,Australia's Golden Outback,Western Australia,Other,2.0111367
1376,1/10/1999,Australia's Golden Outback,Western Australia,Other,0.4145902
1377,1/01/2000,Australia's Golden Outback,Western Australia,Other,15.9693118
1378,1/04/2000,Australia's Golden Outback,Western Australia,Other,1.616593
1379,1/07/2000,Australia's Golden Outback,Western Australia,Other,3.0984947
1380,1/10/2000,Australia's Golden Outback,Western Australia,Other,4.534116
1381,1/01/2001,Australia's Golden Outback,Western Australia,Other,4.8055281
1382,1/04/2001,Australia's Golden Outback,Western Australia,Other,7.5152141
1383,1/07/2001,Australia's Golden Outback,Western Australia,Other,2.2651337
1384,1/10/2001,Australia's Golden Outback,Western Australia,Other,9.3273877
1385,1/01/2002,Australia's Golden Outback,Western Australia,Other,6.033486
1386,1/04/2002,Australia's Golden Outback,Western Australia,Other,4.9621341
1387,1/07/2002,Australia's Golden Outback,Western Australia,Other,7.0993636
1388,1/10/2002,Australia's Golden Outback,Western Australia,Other,6.2122326
1389,1/01/2003,Australia's Golden Outback,Western Australia,Other,11.5128416
1390,1/04/2003,Australia's Golden Outback,Western Australia,Other,6.7370237
1391,1/07/2003,Australia's Golden Outback,Western Australia,Other,16.1427149
1392,1/10/2003,Australia's Golden Outback,Western Australia,Other,13.4116734
1393,1/01/2004,Australia's Golden Outback,Western Australia,Other,11.2515759
1394,1/04/2004,Australia's Golden Outback,Western Australia,Other,8.3599114
1395,1/07/2004,Australia's Golden Outback,Western Australia,Other,5.7978036
1396,1/10/2004,Australia's Golden Outback,Western Australia,Other,4.9360245
1397,1/01/2005,Australia's Golden Outback,Western Australia,Other,3.6386335
1398,1/04/2005,Australia's Golden Outback,Western Australia,Other,9.4203728
1399,1/07/2005,Australia's Golden Outback,Western Australia,Other,1.817227
1400,1/10/2005,Australia's Golden Outback,Western Australia,Other,4.641098
1401,1/01/2006,Australia's Golden Outback,Western Australia,Other,10.007727
1402,1/04/2006,Australia's Golden Outback,Western Australia,Other,8.592657
1403,1/07/2006,Australia's Golden Outback,Western Australia,Other,12.290737
1404,1/10/2006,Australia's Golden Outback,Western Australia,Other,5.574969
1405,1/01/2007,Australia's Golden Outback,Western Australia,Other,11.7613823
1406,1/04/2007,Australia's Golden Outback,Western Australia,Other,5.184804
1407,1/07/2007,Australia's Golden Outback,Western Australia,Other,13.9560631
1408,1/10/2007,Australia's Golden Outback,Western Australia,Other,1.8946932
1409,1/01/2008,Australia's Golden Outback,Western Australia,Other,0.9022494
1410,1/04/2008,Australia's Golden Outback,Western Australia,Other,1.0084494
1411,1/07/2008,Australia's Golden Outback,Western Australia,Other,3.8798925
1412,1/10/2008,Australia's Golden Outback,Western Australia,Other,9.9094896
1413,1/01/2009,Australia's Golden Outback,Western Australia,Other,3.5944788
1414,1/04/2009,Australia's Golden Outback,Western Australia,Other,10.7010981
1415,1/07/2009,Australia's Golden Outback,Western Australia,Other,4.9702429
1416,1/10/2009,Australia's Golden Outback,Western Australia,Other,0.4366762
1417,1/01/2010,Australia's Golden Outback,Western Australia,Other,6.8350091
1418,1/04/2010,Australia's Golden Outback,Western Australia,Other,7.5378135
1419,1/07/2010,Australia's Golden Outback,Western Australia,Other,10.1353902
1420,1/10/2010,Australia's Golden Outback,Western Australia,Other,3.546068
1421,1/01/2011,Australia's Golden Outback,Western Australia,Other,5.8815044
1422,1/04/2011,Australia's Golden Outback,Western Australia,Other,3.6332868
1423,1/07/2011,Australia's Golden Outback,Western Australia,Other,7.9097229
1424,1/10/2011,Australia's Golden Outback,Western Australia,Other,4.8158514
1425,1/01/2012,Australia's Golden Outback,Western Australia,Other,1.7878594
1426,1/04/2012,Australia's Golden Outback,Western Australia,Other,4.013739
1427,1/07/2012,Australia's Golden Outback,Western Australia,Other,2.8971368
1428,1/10/2012,Australia's Golden Outback,Western Australia,Other,6.2706025
1429,1/01/2013,Australia's Golden Outback,Western Australia,Other,6.1311037
1430,1/04/2013,Australia's Golden Outback,Western Australia,Other,17.6646789
1431,1/07/2013,Australia's Golden Outback,Western Australia,Other,0.7438261
1432,1/10/2013,Australia's Golden Outback,Western Australia,Other,8.7817126
1433,1/01/2014,Australia's Golden Outback,Western Australia,Other,1.3133028
1434,1/04/2014,Australia's Golden Outback,Western Australia,Other,7.8558544
1435,1/07/2014,Australia's Golden Outback,Western Australia,Other,5.3022529
1436,1/10/2014,Australia's Golden Outback,Western Australia,Other,0.3487676
1437,1/01/2015,Australia's Golden Outback,Western Australia,Other,12.8494367
1438,1/04/2015,Australia's Golden Outback,Western Australia,Other,6.5695095
1439,1/07/2015,Australia's Golden Outback,Western Australia,Other,11.3457867
1440,1/10/2015,Australia's Golden Outback,Western Australia,Other,2.37272
1441,1/01/2016,Australia's Golden Outback,Western Australia,Other,4.7699109
1442,1/04/2016,Australia's Golden Outback,Western Australia,Other,1.3499527
1443,1/07/2016,Australia's Golden Outback,Western Australia,Other,9.4416782
1444,1/10/2016,Australia's Golden Outback,Western Australia,Other,5.8628632
1445,1/01/1998,Australia's Golden Outback,Western Australia,Visiting,44.3498096
1446,1/04/1998,Australia's Golden Outback,Western Australia,Visiting,46.6304694
1447,1/07/1998,Australia's Golden Outback,Western Australia,Visiting,31.7734836
1448,1/10/1998,Australia's Golden Outback,Western Australia,Visiting,40.6102863
1449,1/01/1999,Australia's Golden Outback,Western Australia,Visiting,45.5712814
1450,1/04/1999,Australia's Golden Outback,Western Australia,Visiting,18.2833902
1451,1/07/1999,Australia's Golden Outback,Western Australia,Visiting,44.9337452
1452,1/10/1999,Australia's Golden Outback,Western Australia,Visiting,57.2446279
1453,1/01/2000,Australia's Golden Outback,Western Australia,Visiting,53.3466181
1454,1/04/2000,Australia's Golden Outback,Western Australia,Visiting,52.0252137
1455,1/07/2000,Australia's Golden Outback,Western Australia,Visiting,74.6303911
1456,1/10/2000,Australia's Golden Outback,Western Australia,Visiting,44.1239721
1457,1/01/2001,Australia's Golden Outback,Western Australia,Visiting,32.7775566
1458,1/04/2001,Australia's Golden Outback,Western Australia,Visiting,53.0594936
1459,1/07/2001,Australia's Golden Outback,Western Australia,Visiting,55.5097481
1460,1/10/2001,Australia's Golden Outback,Western Australia,Visiting,91.5836801
1461,1/01/2002,Australia's Golden Outback,Western Australia,Visiting,53.8337376
1462,1/04/2002,Australia's Golden Outback,Western Australia,Visiting,67.8622853
1463,1/07/2002,Australia's Golden Outback,Western Australia,Visiting,43.9470691
1464,1/10/2002,Australia's Golden Outback,Western Australia,Visiting,49.9738075
1465,1/01/2003,Australia's Golden Outback,Western Australia,Visiting,55.0617443
1466,1/04/2003,Australia's Golden Outback,Western Australia,Visiting,28.5979561
1467,1/07/2003,Australia's Golden Outback,Western Australia,Visiting,54.3363594
1468,1/10/2003,Australia's Golden Outback,Western Australia,Visiting,59.6771514
1469,1/01/2004,Australia's Golden Outback,Western Australia,Visiting,45.4062865
1470,1/04/2004,Australia's Golden Outback,Western Australia,Visiting,44.5004893
1471,1/07/2004,Australia's Golden Outback,Western Australia,Visiting,67.5722476
1472,1/10/2004,Australia's Golden Outback,Western Australia,Visiting,42.1590261
1473,1/01/2005,Australia's Golden Outback,Western Australia,Visiting,30.9533729
1474,1/04/2005,Australia's Golden Outback,Western Australia,Visiting,34.6291304
1475,1/07/2005,Australia's Golden Outback,Western Australia,Visiting,47.5537424
1476,1/10/2005,Australia's Golden Outback,Western Australia,Visiting,44.3914732
1477,1/01/2006,Australia's Golden Outback,Western Australia,Visiting,54.074596
1478,1/04/2006,Australia's Golden Outback,Western Australia,Visiting,69.353254
1479,1/07/2006,Australia's Golden Outback,Western Australia,Visiting,41.706085
1480,1/10/2006,Australia's Golden Outback,Western Australia,Visiting,44.271621
1481,1/01/2007,Australia's Golden Outback,Western Australia,Visiting,48.3324239
1482,1/04/2007,Australia's Golden Outback,Western Australia,Visiting,42.715274
1483,1/07/2007,Australia's Golden Outback,Western Australia,Visiting,44.3222566
1484,1/10/2007,Australia's Golden Outback,Western Australia,Visiting,49.1632988
1485,1/01/2008,Australia's Golden Outback,Western Australia,Visiting,55.3523758
1486,1/04/2008,Australia's Golden Outback,Western Australia,Visiting,33.9859515
1487,1/07/2008,Australia's Golden Outback,Western Australia,Visiting,30.8331548
1488,1/10/2008,Australia's Golden Outback,Western Australia,Visiting,45.992959
1489,1/01/2009,Australia's Golden Outback,Western Australia,Visiting,43.8503876
1490,1/04/2009,Australia's Golden Outback,Western Australia,Visiting,42.8020907
1491,1/07/2009,Australia's Golden Outback,Western Australia,Visiting,29.8723305
1492,1/10/2009,Australia's Golden Outback,Western Australia,Visiting,45.4613394
1493,1/01/2010,Australia's Golden Outback,Western Australia,Visiting,33.3044971
1494,1/04/2010,Australia's Golden Outback,Western Australia,Visiting,31.2553746
1495,1/07/2010,Australia's Golden Outback,Western Australia,Visiting,25.1140021
1496,1/10/2010,Australia's Golden Outback,Western Australia,Visiting,29.2032808
1497,1/01/2011,Australia's Golden Outback,Western Australia,Visiting,35.6200812
1498,1/04/2011,Australia's Golden Outback,Western Australia,Visiting,24.8998046
1499,1/07/2011,Australia's Golden Outback,Western Australia,Visiting,27.6071836
1500,1/10/2011,Australia's Golden Outback,Western Australia,Visiting,46.6492694
1501,1/01/2012,Australia's Golden Outback,Western Australia,Visiting,60.309669
1502,1/04/2012,Australia's Golden Outback,Western Australia,Visiting,59.1266543
1503,1/07/2012,Australia's Golden Outback,Western Australia,Visiting,87.3170676
1504,1/10/2012,Australia's Golden Outback,Western Australia,Visiting,49.761678
1505,1/01/2013,Australia's Golden Outback,Western Australia,Visiting,32.4807897
1506,1/04/2013,Australia's Golden Outback,Western Australia,Visiting,41.4510222
1507,1/07/2013,Australia's Golden Outback,Western Australia,Visiting,57.8447389
1508,1/10/2013,Australia's Golden Outback,Western Australia,Visiting,24.2793474
1509,1/01/2014,Australia's Golden Outback,Western Australia,Visiting,35.8261356
1510,1/04/2014,Australia's Golden Outback,Western Australia,Visiting,34.0596871
1511,1/07/2014,Australia's Golden Outback,Western Australia,Visiting,46.3046432
1512,1/10/2014,Australia's Golden Outback,Western Australia,Visiting,64.3477276
1513,1/01/2015,Australia's Golden Outback,Western Australia,Visiting,45.1979361
1514,1/04/2015,Australia's Golden Outback,Western Australia,Visiting,49.7320691
1515,1/07/2015,Australia's Golden Outback,Western Australia,Visiting,52.8662216
1516,1/10/2015,Australia's Golden Outback,Western Australia,Visiting,31.9372795
1517,1/01/2016,Australia's Golden Outback,Western Australia,Visiting,52.089513
1518,1/04/2016,Australia's Golden Outback,Western Australia,Visiting,45.7911072
1519,1/07/2016,Australia's Golden Outback,Western Australia,Visiting,61.7625815
1520,1/10/2016,Australia's Golden Outback,Western Australia,Visiting,53.6807646
1521,1/01/1998,Australia's North West,Western Australia,Business,51.1373749
1522,1/04/1998,Australia's North West,Western Australia,Business,66.3780496
1523,1/07/1998,Australia's North West,Western Australia,Business,62.2193503
1524,1/10/1998,Australia's North West,Western Australia,Business,34.0105564
1525,1/01/1999,Australia's North West,Western Australia,Business,43.0098315
1526,1/04/1999,Australia's North West,Western Australia,Business,60.2773059
1527,1/07/1999,Australia's North West,Western Australia,Business,72.4842197
1528,1/10/1999,Australia's North West,Western Australia,Business,20.1053095
1529,1/01/2000,Australia's North West,Western Australia,Business,19.8683681
1530,1/04/2000,Australia's North West,Western Australia,Business,42.0118842
1531,1/07/2000,Australia's North West,Western Australia,Business,55.7869291
1532,1/10/2000,Australia's North West,Western Australia,Business,32.6166299
1533,1/01/2001,Australia's North West,Western Australia,Business,53.2649763
1534,1/04/2001,Australia's North West,Western Australia,Business,94.5501708
1535,1/07/2001,Australia's North West,Western Australia,Business,36.5244554
1536,1/10/2001,Australia's North West,Western Australia,Business,42.8554401
1537,1/01/2002,Australia's North West,Western Australia,Business,22.9253795
1538,1/04/2002,Australia's North West,Western Australia,Business,64.6431954
1539,1/07/2002,Australia's North West,Western Australia,Business,64.6153267
1540,1/10/2002,Australia's North West,Western Australia,Business,59.5171918
1541,1/01/2003,Australia's North West,Western Australia,Business,46.6354036
1542,1/04/2003,Australia's North West,Western Australia,Business,49.4349303
1543,1/07/2003,Australia's North West,Western Australia,Business,54.0181526
1544,1/10/2003,Australia's North West,Western Australia,Business,41.3519614
1545,1/01/2004,Australia's North West,Western Australia,Business,25.6760046
1546,1/04/2004,Australia's North West,Western Australia,Business,73.8608027
1547,1/07/2004,Australia's North West,Western Australia,Business,83.4353744
1548,1/10/2004,Australia's North West,Western Australia,Business,38.1508731
1549,1/01/2005,Australia's North West,Western Australia,Business,35.5962677
1550,1/04/2005,Australia's North West,Western Australia,Business,61.009499
1551,1/07/2005,Australia's North West,Western Australia,Business,53.2417317
1552,1/10/2005,Australia's North West,Western Australia,Business,87.1386641
1553,1/01/2006,Australia's North West,Western Australia,Business,54.856385
1554,1/04/2006,Australia's North West,Western Australia,Business,88.89279
1555,1/07/2006,Australia's North West,Western Australia,Business,85.876352
1556,1/10/2006,Australia's North West,Western Australia,Business,60.425536
1557,1/01/2007,Australia's North West,Western Australia,Business,41.9639691
1558,1/04/2007,Australia's North West,Western Australia,Business,55.2924974
1559,1/07/2007,Australia's North West,Western Australia,Business,75.3319645
1560,1/10/2007,Australia's North West,Western Australia,Business,65.38837
1561,1/01/2008,Australia's North West,Western Australia,Business,44.6496188
1562,1/04/2008,Australia's North West,Western Australia,Business,73.3841935
1563,1/07/2008,Australia's North West,Western Australia,Business,66.4364844
1564,1/10/2008,Australia's North West,Western Australia,Business,51.887045
1565,1/01/2009,Australia's North West,Western Australia,Business,61.646099
1566,1/04/2009,Australia's North West,Western Australia,Business,45.3796095
1567,1/07/2009,Australia's North West,Western Australia,Business,69.072861
1568,1/10/2009,Australia's North West,Western Australia,Business,52.2543811
1569,1/01/2010,Australia's North West,Western Australia,Business,52.166776
1570,1/04/2010,Australia's North West,Western Australia,Business,53.6760783
1571,1/07/2010,Australia's North West,Western Australia,Business,76.0866346
1572,1/10/2010,Australia's North West,Western Australia,Business,58.9186072
1573,1/01/2011,Australia's North West,Western Australia,Business,29.5896541
1574,1/04/2011,Australia's North West,Western Australia,Business,65.7644596
1575,1/07/2011,Australia's North West,Western Australia,Business,56.5560812
1576,1/10/2011,Australia's North West,Western Australia,Business,92.919339
1577,1/01/2012,Australia's North West,Western Australia,Business,59.9947311
1578,1/04/2012,Australia's North West,Western Australia,Business,105.1280482
1579,1/07/2012,Australia's North West,Western Australia,Business,74.3457392
1580,1/10/2012,Australia's North West,Western Australia,Business,96.476838
1581,1/01/2013,Australia's North West,Western Australia,Business,61.5702084
1582,1/04/2013,Australia's North West,Western Australia,Business,122.5466351
1583,1/07/2013,Australia's North West,Western Australia,Business,128.2052567
1584,1/10/2013,Australia's North West,Western Australia,Business,79.9922142
1585,1/01/2014,Australia's North West,Western Australia,Business,192.9109602
1586,1/04/2014,Australia's North West,Western Australia,Business,181.5386646
1587,1/07/2014,Australia's North West,Western Australia,Business,190.8409934
1588,1/10/2014,Australia's North West,Western Australia,Business,240.9031243
1589,1/01/2015,Australia's North West,Western Australia,Business,192.2688529
1590,1/04/2015,Australia's North West,Western Australia,Business,254.0455866
